z,T,t,fs,x,y,w,rhob,p
0.0,556.2446968514281,298.0,0.0,0.22647859010815916,0.26752140989184087,0.35471996110774584,2200.0,2040.0
0.0025907960199004977,579.7726278507141,352.1320471510772,6.50491047783598e-07,0.22647882545676268,0.2675211745432373,0.35471996110774584,2199.999587235552,2045.4028592071934
0.0051815920398009955,600.3938728052129,399.1402149599778,2.8897539725788506e-06,0.22647963562533308,0.2675203643746669,0.35471996110774584,2199.998166327258,2051.13679599416
0.007772388059701494,618.5339397693482,440.1717615131613,8.06393262834847e-06,0.226481507650667,0.267518492349333,0.35471996110774584,2199.9948830891503,2057.162495322748
0.010363184079601991,634.5411595744573,476.13940188268344,1.7482754237463094e-05,0.226484915393971,0.26751508460602896,0.35471996110774584,2199.9889064431754,2063.4448654399416
0.015544776119402987,661.2637102601727,535.7014751012184,5.29627648630063e-05,0.22649775211321815,0.26750224788678184,0.35471996110774584,2199.966392855862,2076.6579186789572
0.020726368159203982,682.3587735138784,582.3050179037639,0.00011407817402591102,0.22651986375679625,0.26748013624320377,0.35471996110774584,2199.927612509516,2090.5644349824897
0.02590796019900498,699.1220702605483,619.0786141973446,0.00020166190480429055,0.22655155167748167,0.26744844832251835,0.35471996110774584,2199.8720368787485,2104.9966873465705
0.031089552238805974,712.5121638475025,648.2820140173554,0.0003143058380514177,0.22659230641572708,0.2674076935842729,0.35471996110774584,2199.8005594755064,2119.821661215396
0.041452736318407964,731.8951490276087,690.2602838950157,0.0006048851166374132,0.22669743841970577,0.26730256158029425,0.35471996110774584,2199.6161744698456,2150.2498064385723
0.05181592039800996,744.5185990418186,717.3632155208853,0.0009651046207920422,0.22682776635818874,0.26717223364181125,0.35471996110774584,2199.387599756481,2181.2408099191166
0.06217910447761195,752.8235310878123,735.035456079656,0.001377183934654032,0.22697685725095745,0.2670231427490426,0.35471996110774584,2199.1261177712936,2212.413781525392
0.07254228855721394,758.339729182723,746.6469402590452,0.0018278577491895947,0.2271399116899849,0.26686008831001506,0.35471996110774584,2198.8401459213787,2243.5316676137045
0.08290547263681593,762.0432127544783,754.3306101870219,0.0023077396160685808,0.2273135336446663,0.2666864663553337,0.35471996110774584,2198.535640310478,2274.4489155188726
0.09326865671641792,764.5637651451245,759.4556718420306,0.002810343221894621,0.22749537635741765,0.2665046236425824,0.3547199611077459,2198.216716782427,2305.0782292412196
0.1036318407960199,766.3106571721429,762.9089440682512,0.0033312392081966307,0.22768383727992686,0.2663161627200732,0.3547199611077459,2197.8861859550043,2335.36936257318
0.11399502487562191,767.5510348741641,765.2680323781741,0.0038674220942933888,0.2278778290249292,0.26612217097507074,0.3547199611077459,2197.5459549345096,2365.2955546774515
0.1243582089552239,768.4597409010153,766.9104411426072,0.004416859670119421,0.22807661633587878,0.2659233836641212,0.35471996110774595,2197.197313245323,2394.8448421225344
0.1347213930348259,769.1513827224736,768.0833982146942,0.004978180260988569,0.22827970293888686,0.2657202970611131,0.35471996110774595,2196.84113127382,2424.0144931408186
0.14508457711442788,769.7011438658043,768.9489947606735,0.005550458589847935,0.22848675406737518,0.2655132459326248,0.354719961107746,2196.477996147945,2452.8074453403437
0.15544776119402987,770.1583605355773,769.6135586757781,0.006133070308648714,0.22869754383131516,0.26530245616868486,0.354719961107746,2196.108304043292,2481.2300305913104
0.16581094527363185,770.5554073391337,770.1468473936638,0.006725593672115973,0.22891191964265525,0.26508808035734477,0.35471996110774606,2195.7323225753134,2509.290527286876
0.17617412935323384,770.91352406642,770.5946200686958,0.00732774329976975,0.2291297782503244,0.26487022174967556,0.35471996110774606,2195.3502328301547,2536.998244313549
0.18653731343283586,771.2466405862358,770.9868847608996,0.007939325659908143,0.2293510496342725,0.2646489503657275,0.3547199611077461,2194.9621576119744,2564.362946417671
0.20208208955223883,771.7185166972156,771.5122969395044,0.008874109775418682,0.22968925588156333,0.26431074411843664,0.3547199611077461,2194.368997028507,2604.7883989193533
0.21762686567164183,772.172644926077,771.995750272766,0.009829550184079891,0.23003493560564262,0.2639650643943574,0.3547199611077462,2193.762729141765,2644.4969062865216
0.2487164179104478,773.0625498654942,772.9119133603795,0.01180184137692934,0.23074851341663707,0.26325148658336295,0.3547199611077463,2192.5112258531362,2721.886493593433
0.2798059701492538,773.9518574875966,773.8117717182478,0.013855628974559336,0.23149157674495174,0.2625084232550483,0.3547199611077464,2191.2080096029717,2796.76075224416
