z,T,t,fs,x,y,w,rhob,p
0.0,526.9271092796849,298.0,0.0,0.22880648698891004,0.2446938426052689,0.37423465988709914,2200.0,2040.0
0.0034891122278056953,545.4588909633204,337.14928932518524,4.784533180982417e-06,0.22880828817033344,0.2446920414238455,0.37423465988709914,2199.996964008645,2046.344733406206
0.0069782244556113905,566.5478088962823,381.93711297084195,9.588202343712856e-06,0.22881009655567278,0.24469023303850618,0.37423465988709914,2199.99391587469,2053.055911293363
0.008141261864879956,574.1980444875109,398.24769292816836,1.1193838512113003e-05,0.2288107010121432,0.24468962858203575,0.37423465988709914,2199.9928970297283,2055.384340855025
0.008213951702959242,574.6870151925702,399.29135353453813,1.12942657232115e-05,0.22881073881888844,0.2446895907752905,0.37423465988709914,2199.9928333043586,2055.5314885623807
0.008286641541038527,575.1771203083531,400.3375577527725,1.1394810125612076e-05,0.22881077666975141,0.24468955292442754,0.37423465988709914,2199.9927695046263,2055.678830512416
0.008432021217197097,576.1537875029311,402.4219956823227,1.1601075223974654e-05,0.2288108543201406,0.24468947527403836,0.37423465988709914,2199.9926386205816,2055.974096955645
0.008722780569514237,578.0877089511102,406.5472519550837,1.2038644371119441e-05,0.22881101904706158,0.24468931054711737,0.37423465988709914,2199.9923609642046,2056.5669427844605
0.00901353992183138,579.9960865114589,410.61518032246477,1.2510776490029617e-05,0.22881119678553047,0.24468913280864849,0.37423465988709914,2199.992061376141,2057.1628388686854
0.00930429927414852,581.8793210669605,414.626758940605,1.3018870281988621e-05,0.22881138806210122,0.24468894153207774,0.37423465988709914,2199.9917389688544,2057.7617452163818
0.01163037409268565,596.0856060495073,444.801225075724,1.853890635244774e-05,0.228813466130337,0.24468686346384194,0.37423465988709914,2199.9882362693947,2062.6567179314184
0.013956448911222781,608.8900045662707,471.8686328336844,2.7086232092545647e-05,0.22881668384955026,0.2446836457446287,0.37423465988709914,2199.9828126248985,2067.7227539339706
0.016282523729759912,620.4510256522558,496.20445948353586,3.917787597247775e-05,0.22882123585985326,0.2446790937343257,0.37423465988709914,2199.9751399586435,2072.9423664539563
0.01860859854829704,630.905566189844,518.128103146078,5.519072690656173e-05,0.22882726404453652,0.2446730655496424,0.37423465988709914,2199.964979118461,2078.29965487782
0.02093467336683417,640.3725467695339,537.9133433761051,7.537006826214887e-05,0.22883486074277465,0.2446654688514043,0.37423465988709914,2199.9521744615417,2083.780167520025
0.0232607481853713,648.955808369428,555.7964391617437,9.984794846173135e-05,0.22884407566540804,0.2446562539287709,0.37423465988709914,2199.9366421975033,2089.370773587593
0.025586823003908434,656.7464445120721,571.982484897238,0.00012866438838364094,0.22885492387866366,0.2446454057155153,0.37423465988709914,2199.9183569313827,2095.0595448774634
0.027912897822445562,663.8246971627417,586.6504611072809,0.00016178774585483827,0.22886739347055507,0.24463293612362386,0.37423465988709914,2199.8973387414944,2100.8356471530087
0.030238972640982697,670.2615117804946,599.957293003976,0.00019913260876114333,0.2288814522869081,0.24461887730727086,0.37423465988709914,2199.873641825486,2106.689240819639
0.032565047459519825,676.1198233463045,612.0411449859857,0.00024057472479179114,0.22889705355180004,0.24460327604237891,0.37423465988709914,2199.8473450267743,2112.6113903511746
0.034891122278056956,681.4556280392782,623.0241197443461,0.00028596304544745887,0.22891414040163718,0.24458618919254177,0.37423465988709914,2199.8185441921046,2118.5939818440474
0.03721719709659408,686.3188826076753,633.0144883627595,0.0003351292095154864,0.228932649455296,0.24456768013888294,0.37423465988709914,2199.787346153882,2124.6296480568135
0.03954327191513121,690.7542640863686,642.1085472820776,0.000387894868143708,0.2289525135717144,0.24454781602246456,0.37423465988709914,2199.753864082097,2130.7117003045073
0.04186934673366834,694.801815447295,650.3921756674802,0.0004440772470151991,0.22897366394382343,0.24452666565035552,0.37423465988709914,2199.718213954887,2136.8340666068993
0.045358458961474044,700.2236242492794,661.4637939748948,0.0005343574736949414,0.22900765076365412,0.24449267883052483,0.37423465988709914,2199.660927281906,2146.081289664447
0.04884757118927974,704.9594598017459,671.1092603313195,0.0006313102965536685,0.22904414954355046,0.2444561800506285,0.37423465988709914,2199.599406560681,2155.3904376215364
0.05233668341708543,709.1005815471465,679.5214344201657,0.0007343604818264188,0.22908294373148275,0.2444173858626962,0.37423465988709914,2199.534016801689,2164.747250816037
0.055825795644891124,712.7253748557051,686.8652036269222,0.0008429700580911497,0.22912383080317222,0.24437649879100673,0.37423465988709914,2199.465099370853,2174.139412403916
