status,elapsed_s,region,solver,initial_mesh,hc_outer_converged,hc_max_re_final,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
success,373.345765999984,up,bvp,200,,,True,0.001,790,0.000919003816332917,,556.2446016655596,1222.5801290865606,1.0000000000160918,0.22647899796440177,0.26752100203559825,0.3547195532469319,1565.457142846932,7255.244921535384,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
success,643.9836790999398,up,bvp,300,,,True,0.001,980,0.0008695193111110624,,556.244614709574,1222.580128852425,1.0000000001447524,0.22647899222836607,0.2675210077716339,0.35471955893641804,1565.4571427652913,7255.244803683942,True,1.3044014394836267e-05,2.3450141099398827e-08,2.3413554117723834e-07,1.9150936254147245e-10,1.2866063769934044e-10,1.2866063769727006e-10,5.736035701975339e-09,2.5327009363035666e-08,5.736035646464188e-09,2.1441440495579897e-08,5.689486159976553e-09,1.6039392550812997e-08,8.164056453097146e-08,5.2151261313037526e-11,0.00011785144124587532,1.6243619963271362e-08,0.00011785144124587532,2.5327009363035666e-08,True
success,1066.1402751000132,up,bvp,400,,,True,0.001,1582,0.0007218701455728991,,556.2445579809698,1222.5801291294035,1.0000000000145277,0.22647899873863425,0.26752100126136574,0.35471955247326525,1565.4571428479244,7255.24498883214,True,4.3684589741133095e-05,7.853485608728357e-08,4.2842884795391e-08,3.504300763288265e-11,1.5640821970919205e-12,1.5640821970667517e-12,7.742324836801373e-10,3.4185619445465405e-09,7.742325114357129e-10,2.894099923162997e-09,7.736666307600615e-10,2.1810656437692534e-09,9.92486093309708e-10,6.339912260419842e-13,6.729675624228548e-05,9.275600888749028e-09,6.729675624228548e-05,7.853485608728357e-08,True
