scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,1.005,200,10,,,True,4.0913,
1,1.0099999999999998,200,10,,,True,4.4829,
2,1.0149999999999997,200,10,,,True,4.5578,
3,1.0199999999999996,200,10,,,True,5.1206,
4,1.0249999999999995,200,10,,,True,4.83,
5,1.0299999999999994,200,10,,,True,5.4615,
6,1.0349999999999993,200,10,,,True,5.4562,
7,1.0399999999999991,200,10,,,True,5.9127,
8,1.044999999999999,200,10,,,True,6.157,
9,1.049999999999999,200,10,,,True,6.5067,
10,1.0549999999999988,200,10,,,True,5.9954,
11,1.0599999999999987,200,10,,,True,6.9401,
12,1.0649999999999986,200,10,,,True,6.5876,
13,1.0699999999999985,200,10,,,True,6.301,
14,1.0749999999999984,200,10,,,True,6.393,
15,1.0799999999999983,200,10,,,True,6.8256,
16,1.0849999999999982,200,10,,,True,7.1713,
17,1.089999999999998,200,10,,,True,7.3231,
18,1.094999999999998,200,10,,,True,7.1297,
19,1.0999999999999979,200,10,,,True,7.1756,
20,1.1049999999999978,200,10,,,True,7.3711,
21,1.1099999999999977,200,10,,,True,7.1105,
22,1.1149999999999975,200,10,,,True,7.4937,
23,1.1199999999999974,200,10,,,True,7.4069,
24,1.1249999999999973,200,10,,,True,7.5423,
25,1.1299999999999972,200,10,,,True,7.9016,
26,1.1349999999999971,200,10,,,True,8.1524,
27,1.139999999999997,200,10,,,True,8.1265,
28,1.144999999999997,200,10,,,True,8.2006,
29,1.1499999999999968,200,10,,,True,8.1436,
30,1.1549999999999967,200,10,,,True,8.0039,
31,1.1599999999999966,200,10,,,True,7.9312,
32,1.1649999999999965,200,10,,,True,8.5519,
33,1.1699999999999964,200,10,,,True,7.7427,
34,1.1749999999999963,200,10,,,True,8.6629,
35,1.1799999999999962,200,10,,,True,7.6062,
36,1.184999999999996,200,10,,,True,7.7679,
37,1.189999999999996,200,10,,,True,8.5708,
