scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,1.765,200,10,,,True,30.5999,
1,1.7699999999999998,200,10,,,True,30.1441,
2,1.7749999999999997,200,10,,,True,30.4652,
3,1.7799999999999996,200,10,,,True,32.0549,
4,1.7849999999999995,200,10,,,True,31.1035,
5,1.7899999999999994,200,10,,,True,30.3473,
6,1.7949999999999993,200,10,,,True,29.463,
7,1.7999999999999992,200,10,,,True,28.2209,
8,1.804999999999999,200,10,,,True,28.365,
9,1.809999999999999,200,10,,,True,27.2724,
10,1.8149999999999988,200,10,,,True,26.2927,
11,1.8199999999999987,200,10,,,True,26.9052,
12,1.8249999999999986,200,10,,,True,26.8233,
13,1.8299999999999985,200,10,,,True,27.3557,
14,1.8349999999999984,200,10,,,True,27.2566,
15,1.8399999999999983,200,10,,,True,26.8981,
16,1.8449999999999982,200,10,,,True,26.463,
17,1.849999999999998,200,10,,,True,26.0601,
18,1.854999999999998,200,10,,,True,25.4478,
19,1.8599999999999979,200,10,,,True,25.8468,
20,1.8649999999999978,200,10,,,True,25.3707,
21,1.8699999999999977,200,10,,,True,25.5341,
22,1.8749999999999976,200,10,,,True,25.2648,
23,1.8799999999999975,200,10,,,True,25.8072,
24,1.8849999999999973,200,10,,,True,25.524,
25,1.8899999999999972,200,10,,,True,25.0102,
26,1.8949999999999971,200,10,,,True,26.0532,
27,1.899999999999997,200,10,,,True,25.7697,
28,1.904999999999997,200,10,,,True,24.959,
29,1.9099999999999968,200,10,,,True,24.9233,
30,1.9149999999999967,200,10,,,True,25.3826,
31,1.9199999999999966,200,10,,,True,24.7957,
32,1.9249999999999965,200,10,,,True,25.0629,
33,1.9299999999999964,200,10,,,True,34.9743,
34,1.9349999999999963,200,10,,,True,35.336,
35,1.9399999999999962,200,10,,,True,36.3699,
36,1.944999999999996,200,10,,,True,27.8992,
37,1.949999999999996,200,10,,,True,32.3578,
