scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,1.385,200,10,,,True,16.6299,
1,1.39,200,10,,,True,18.4473,
2,1.3949999999999998,200,10,,,True,19.1991,
3,1.3999999999999997,200,10,,,True,21.7267,
4,1.4049999999999996,200,10,,,True,23.9316,
5,1.4099999999999995,200,10,,,True,24.1422,
6,1.4149999999999994,200,10,,,True,25.3447,
7,1.4199999999999993,200,10,,,True,24.2544,
8,1.4249999999999992,200,10,,,True,22.9531,
9,1.429999999999999,200,10,,,True,27.3253,
10,1.434999999999999,200,10,,,True,29.4586,
11,1.4399999999999988,200,10,,,True,25.2569,
12,1.4449999999999987,200,10,,,True,22.3715,
13,1.4499999999999986,200,10,,,True,22.3267,
14,1.4549999999999985,200,10,,,True,20.879,
15,1.4599999999999984,200,10,,,True,21.8688,
16,1.4649999999999983,200,10,,,True,22.6872,
17,1.4699999999999982,200,10,,,True,21.9602,
18,1.474999999999998,200,10,,,True,21.8515,
19,1.479999999999998,200,10,,,True,28.2058,
20,1.4849999999999979,200,10,,,True,30.0479,
21,1.4899999999999978,200,10,,,True,26.8698,
22,1.4949999999999977,200,10,,,True,20.366,
23,1.4999999999999976,200,10,,,True,21.2705,
24,1.5049999999999975,200,10,,,True,22.048,
25,1.5099999999999973,200,10,,,True,21.4647,
26,1.5149999999999972,200,10,,,True,21.9086,
27,1.5199999999999971,200,10,,,True,21.1326,
28,1.524999999999997,200,10,,,True,21.3362,
29,1.529999999999997,200,10,,,True,21.2316,
30,1.5349999999999968,200,10,,,True,21.3454,
31,1.5399999999999967,200,10,,,True,20.7881,
32,1.5449999999999966,200,10,,,True,20.8449,
33,1.5499999999999965,200,10,,,True,21.0332,
34,1.5549999999999964,200,10,,,True,21.0193,
35,1.5599999999999963,200,10,,,True,20.9601,
36,1.5649999999999962,200,10,,,True,21.0575,
37,1.569999999999996,200,10,,,True,20.9009,
