scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,1.195,200,10,,,True,8.3475,
1,1.2,200,10,,,True,8.4671,
2,1.2049999999999998,200,10,,,True,8.6957,
3,1.2099999999999997,200,10,,,True,9.3931,
4,1.2149999999999996,200,10,,,True,9.7389,
5,1.2199999999999995,200,10,,,True,9.3786,
6,1.2249999999999994,200,10,,,True,9.736,
7,1.2299999999999993,200,10,,,True,9.6205,
8,1.2349999999999992,200,10,,,True,9.4794,
9,1.239999999999999,200,10,,,True,10.7519,
10,1.244999999999999,200,10,,,True,10.1658,
11,1.249999999999999,200,10,,,True,10.2926,
12,1.2549999999999988,200,10,,,True,11.0134,
13,1.2599999999999987,200,10,,,True,10.6586,
14,1.2649999999999986,200,10,,,True,10.4214,
15,1.2699999999999985,200,10,,,True,10.1102,
16,1.2749999999999984,200,10,,,True,10.4616,
17,1.2799999999999983,200,10,,,True,11.0865,
18,1.2849999999999981,200,10,,,True,11.5756,
19,1.289999999999998,200,10,,,True,11.0049,
20,1.294999999999998,200,10,,,True,11.6428,
21,1.2999999999999978,200,10,,,True,10.8872,
22,1.3049999999999977,200,10,,,True,11.1718,
23,1.3099999999999976,200,10,,,True,11.442,
24,1.3149999999999975,200,10,,,True,12.2006,
25,1.3199999999999974,200,10,,,True,12.5864,
26,1.3249999999999973,200,10,,,True,13.9658,
27,1.3299999999999972,200,10,,,True,13.2131,
28,1.334999999999997,200,10,,,True,12.7484,
29,1.339999999999997,200,10,,,True,13.2573,
30,1.3449999999999969,200,10,,,True,13.4302,
31,1.3499999999999968,200,10,,,True,13.7412,
32,1.3549999999999967,200,10,,,True,13.2568,
33,1.3599999999999965,200,10,,,True,13.3643,
34,1.3649999999999964,200,10,,,True,13.5043,
35,1.3699999999999963,200,10,,,True,13.4239,
36,1.3749999999999962,200,10,,,True,13.8664,
37,1.3799999999999961,200,10,,,True,13.625,
