region,solver,initial_mesh,status,elapsed_s,hc_outer_converged,hc_max_re_final,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,x_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_x_out,rel_diff_x_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
down,hc,9,success,0.08836370008066297,True,8.595688559829495e-05,,,,,,1200.0632923875448,1243.6734933979326,1.0,0.999999999999999,1700.0,10519.473905240395,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
down,hc,8,success,0.08224739995785058,True,8.370251854934549e-05,,,,,,1200.0632210538615,1243.645073220044,1.0,0.999999999999999,1700.0,10520.031854760164,True,7.133368330869416e-05,5.94416009232102e-08,0.028420177888619946,2.285179996155669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5579495197689539,5.303967905571828e-05,0.5579495197689539,5.303967905571828e-05,True
down,hc,7,success,0.11692570010200143,True,8.077032021752725e-05,,,,,,1200.0631260704129,1243.6080145491333,1.0,0.999999999999999,1700.0,10520.667964459282,True,0.00016631713197057252,1.3859030021631774e-07,0.06547884879933008,5.2649549216032946e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1940592188875598,0.00011350940452380662,1.1940592188875598,0.00011350940452380662,True
down,hc,6,success,0.08022570004686713,True,7.68081921097416e-05,,,,,,1200.0629933274809,1243.5577476351748,1.0,0.999999999999999,1700.0,10521.34544269386,True,0.0002990600639805052,2.4920357607599223e-07,0.11574576275779691,9.306764466094661e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.8715374534658622,0.00017791169694651124,1.8715374534658622,0.00017791169694651124,True
down,hc,5,success,0.08067180006764829,True,7.11482806251328e-05,,,,,,1200.0628038357804,1243.4853490396636,1.0,0.999999999999999,1700.0,10521.955776245235,True,0.0004885517644197535,4.071049981436996e-07,0.1881443582690281,0.0001512811515786068,0.0,0.0,0.0,0.0,0.0,0.0,2.4818710048402863,0.00023593109571800109,2.4818710048402863,0.00023593109571800109,True
down,hc,4,success,0.07798600010573864,True,6.142661476627543e-05,,,,,,1200.0627664048172,1243.351597830678,1.0,0.999999999999999,1700.0,10524.950510860415,True,0.0005259827275949647,4.38295822338265e-07,0.32189556725461443,0.00025882642748551284,0.0,0.0,0.0,0.0,0.0,0.0,5.476605620020564,0.0005206159233203032,5.476605620020564,0.0005206159233203032,True
down,hc,3,success,0.08137460006400943,True,4.3212183365145224e-05,,,,,,1200.062742522865,1243.0847166716783,1.0,0.999999999999999,1700.0,10531.321303407567,True,0.0005498646798969276,4.581963996273589e-07,0.5887767262543093,0.00047341744387079343,0.0,0.0,0.0,0.0,0.0,0.0,11.847398167172287,0.0011262348548885482,11.847398167172287,0.0011262348548885482,False
down,hc,2,success,0.11820150003768504,True,0.00039718392007023084,,,,,,1200.036346266562,1242.3049389993832,1.0,0.999999999999999,1700.0,10553.394563774738,True,0.026946120982756838,2.245391651730894e-05,1.3685543985493496,0.0011004129345960575,0.0,0.0,0.0,0.0,0.0,0.0,33.9206585343436,0.0032245584560503205,33.9206585343436,0.0032245584560503205,False
