scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,0.05,200,10,,,True,17.2163,
1,0.055,200,10,,,True,17.3384,
2,0.06,200,10,,,True,18.1186,
3,0.065,200,10,,,True,18.4945,
4,0.07,200,10,,,True,19.805,
5,0.07500000000000001,200,10,,,True,20.688,
6,0.08000000000000002,200,10,,,True,22.4957,
7,0.08500000000000002,200,10,,,True,22.2627,
8,0.09000000000000002,200,10,,,True,23.3571,
9,0.09500000000000003,200,10,,,True,22.2534,
10,0.10000000000000003,200,10,,,True,22.1215,
11,0.10500000000000004,200,10,,,True,23.2059,
12,0.11000000000000004,200,10,,,True,23.075,
13,0.11500000000000005,200,10,,,True,22.1665,
14,0.12000000000000005,200,10,,,True,21.5704,
15,0.12500000000000006,200,10,,,True,22.4605,
16,0.13000000000000006,200,10,,,True,22.557,
17,0.13500000000000006,200,10,,,True,21.849,
18,0.14000000000000007,200,10,,,True,22.0043,
19,0.14500000000000007,200,10,,,True,21.1758,
20,0.15000000000000008,200,10,,,True,22.3402,
21,0.15500000000000008,200,10,,,True,21.4271,
22,0.1600000000000001,200,10,,,True,20.7345,
23,0.1650000000000001,200,10,,,True,19.6387,
24,0.1700000000000001,200,10,,,True,18.3463,
25,0.1750000000000001,200,10,,,True,18.0211,
26,0.1800000000000001,200,10,,,True,18.0425,
27,0.1850000000000001,200,10,,,True,16.2311,
28,0.1900000000000001,200,10,,,True,15.7554,
29,0.19500000000000012,200,10,,,True,15.3779,
30,0.20000000000000012,200,10,,,True,14.3764,
31,0.20500000000000013,200,10,,,True,14.4854,
32,0.21000000000000013,200,10,,,True,13.5372,
33,0.21500000000000014,200,10,,,True,13.1959,
34,0.22000000000000014,200,10,,,True,13.2783,
35,0.22500000000000014,200,10,,,True,13.262,
36,0.23000000000000015,200,10,,,True,11.9019,
37,0.23500000000000015,200,10,,,True,11.6415,
38,0.24000000000000016,200,10,,,True,11.0456,
