scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,1.575,200,10,,,True,28.2264,
1,1.5799999999999998,200,10,,,True,27.447,
2,1.5849999999999997,200,10,,,True,27.9747,
3,1.5899999999999996,200,10,,,True,28.4992,
4,1.5949999999999995,200,10,,,True,28.5052,
5,1.5999999999999994,200,10,,,True,28.4125,
6,1.6049999999999993,200,10,,,True,27.2523,
7,1.6099999999999992,200,10,,,True,27.6716,
8,1.614999999999999,200,10,,,True,26.261,
9,1.619999999999999,200,10,,,True,25.8662,
10,1.624999999999999,200,10,,,True,24.6359,
11,1.6299999999999988,200,10,,,True,24.6224,
12,1.6349999999999987,200,10,,,True,24.7269,
13,1.6399999999999986,200,10,,,True,25.4793,
14,1.6449999999999985,200,10,,,True,25.0201,
15,1.6499999999999984,200,10,,,True,23.5388,
16,1.6549999999999983,200,10,,,True,24.1308,
17,1.6599999999999981,200,10,,,True,23.2644,
18,1.664999999999998,200,10,,,True,23.0632,
19,1.669999999999998,200,10,,,True,23.5258,
20,1.6749999999999978,200,10,,,True,23.386,
21,1.6799999999999977,200,10,,,True,23.2443,
22,1.6849999999999976,200,10,,,True,24.2188,
23,1.6899999999999975,200,10,,,True,23.6386,
24,1.6949999999999974,200,10,,,True,24.468,
25,1.6999999999999973,200,10,,,True,23.3862,
26,1.7049999999999972,200,10,,,True,23.8862,
27,1.709999999999997,200,10,,,True,23.5718,
28,1.714999999999997,200,10,,,True,23.4895,
29,1.7199999999999969,200,10,,,True,23.1621,
30,1.7249999999999968,200,10,,,True,23.042,
31,1.7299999999999967,200,10,,,True,23.5003,
32,1.7349999999999965,200,10,,,True,23.0511,
33,1.7399999999999964,200,10,,,True,23.8932,
34,1.7449999999999963,200,10,,,True,24.355,
35,1.7499999999999962,200,10,,,True,23.9678,
36,1.7549999999999961,200,10,,,True,25.6928,
37,1.759999999999996,200,10,,,True,33.7715,
