scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,0.815,200,10,,,True,6.2673,
1,0.82,200,10,,,True,5.9781,
2,0.825,200,10,,,True,5.9389,
3,0.83,200,10,,,True,6.0154,
4,0.835,200,10,,,True,6.2099,
5,0.84,200,10,,,True,5.9592,
6,0.845,200,10,,,True,6.3397,
7,0.85,200,10,,,True,6.0756,
8,0.855,200,10,,,True,5.9454,
9,0.86,200,10,,,True,6.2623,
10,0.865,200,10,,,True,5.9668,
11,0.87,200,10,,,True,5.8155,
12,0.875,200,10,,,True,5.997,
13,0.88,200,10,,,True,5.9882,
14,0.885,200,10,,,True,5.5634,
15,0.89,200,10,,,True,6.6754,
16,0.895,200,10,,,True,6.2188,
17,0.9,200,10,,,True,6.4129,
18,0.905,200,10,,,True,5.8927,
19,0.91,200,10,,,True,5.779,
20,0.915,200,10,,,True,6.0344,
21,0.92,200,10,,,True,5.8486,
22,0.925,200,10,,,True,5.0711,
23,0.93,200,10,,,True,4.6551,
24,0.935,200,10,,,True,4.6171,
25,0.9400000000000001,200,10,,,True,4.3637,
26,0.9450000000000001,200,10,,,True,4.7824,
27,0.9500000000000001,200,10,,,True,4.489,
28,0.9550000000000001,200,10,,,True,4.3971,
29,0.9600000000000001,200,10,,,True,4.6423,
30,0.9650000000000001,200,10,,,True,3.6181,
31,0.9700000000000001,200,10,,,True,4.1454,
32,0.9750000000000001,200,10,,,True,41.95,
33,0.9800000000000001,200,10,,,True,3.6691,
34,0.9850000000000001,200,10,,,True,4.135,
35,0.9900000000000001,200,10,,,True,3.9299,
36,0.9950000000000001,200,10,,,True,4.1788,
37,1.0,200,10,,,True,4.0792,
