scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,0.625,200,10,,,True,9.9489,
1,0.63,200,10,,,True,9.6256,
2,0.635,200,10,,,True,9.2982,
3,0.64,200,10,,,True,10.1382,
4,0.645,200,10,,,True,10.1714,
5,0.65,200,10,,,True,10.3263,
6,0.655,200,10,,,True,10.0995,
7,0.66,200,10,,,True,10.6943,
8,0.665,200,10,,,True,11.1774,
9,0.67,200,10,,,True,11.0214,
10,0.675,200,10,,,True,11.0511,
11,0.68,200,10,,,True,10.3585,
12,0.685,200,10,,,True,10.0012,
13,0.6900000000000001,200,10,,,True,9.9485,
14,0.6950000000000001,200,10,,,True,9.7477,
15,0.7000000000000001,200,10,,,True,9.777,
16,0.7050000000000001,200,10,,,True,9.9332,
17,0.7100000000000001,200,10,,,True,9.2898,
18,0.7150000000000001,200,10,,,True,9.9049,
19,0.7200000000000001,200,10,,,True,9.5203,
20,0.7250000000000001,200,10,,,True,9.7891,
21,0.7300000000000001,200,10,,,True,8.7143,
22,0.7350000000000001,200,10,,,True,8.9218,
23,0.7400000000000001,200,10,,,True,9.2253,
24,0.7450000000000001,200,10,,,True,8.3678,
25,0.7500000000000001,200,10,,,True,8.5575,
26,0.7550000000000001,200,10,,,True,8.8845,
27,0.7600000000000001,200,10,,,True,8.147,
28,0.7650000000000001,200,10,,,True,8.2571,
29,0.7700000000000001,200,10,,,True,7.9451,
30,0.7750000000000001,200,10,,,True,7.5119,
31,0.7800000000000001,200,10,,,True,7.3475,
32,0.7850000000000001,200,10,,,True,7.1442,
33,0.7900000000000001,200,10,,,True,6.7061,
34,0.7950000000000002,200,10,,,True,7.2672,
35,0.8000000000000002,200,10,,,True,6.5184,
36,0.8050000000000002,200,10,,,True,6.7921,
37,0.8100000000000002,200,10,,,True,6.4863,
