status,elapsed_s,region,solver,initial_mesh,hc_outer_converged,hc_max_re_final,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,x_out,y_out,w_out,rhob_out,p_bottom
success,1004.9749261999968,up,bvp,101,,,True,0.001,1634,0.0008683793485237213,,556.2446345064044,1222.5801290188072,1.0000000000379634,0.2264789872690142,0.26752101273098583,0.35471956393440635,1565.4571428330537,7255.244905999262
success,176.32210369990207,up,bvp,102,,,True,0.001,295,0.0008867428263489103,,556.2446352945328,1222.5801139336031,1.0000000000501075,0.2264790845014762,0.26752091549852386,0.35471946669755056,1565.4571428253478,7255.2458203114165
