status,elapsed_s,region,solver,initial_mesh,hc_outer_converged,hc_max_re_final,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
success,126.44741789996624,up,bvp,59,,,True,0.001,191.0,0.000966010353695742,,556.2446601655013,1222.5801321789525,1.0000000000489921,0.2264790076296874,0.26752099237031257,0.354719543569743,1565.4571428260551,7255.247471799914,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
success,176.6477018999867,up,bvp,58,,,True,0.001,314.0,0.0009462893405720609,,556.2443827633253,1222.580134354641,1.000000000037388,0.2264791840954991,0.2675208159045009,0.35471936710812957,1565.4571428334184,7255.240819877966,True,0.00027740217592509,4.987053284116986e-07,2.1756884507340146e-06,1.7795876061361949e-09,1.1604051053382136e-11,1.1604051052813629e-11,1.7646581171315567e-07,7.791707212073819e-07,1.764658116854001e-07,6.596335118297165e-07,1.7646161343254363e-07,4.974679761275931e-07,7.363269105553627e-09,4.703590346945571e-12,0.006651921948105155,9.168428746173308e-07,0.006651921948105155,9.168428746173308e-07,True
success,182.588740499923,up,bvp,57,,,True,0.001,276.0,0.0009900966637318685,,556.2446668317758,1222.5801231492642,1.0000000000654816,0.22647887927390836,0.26752112072609163,0.35471967191955606,1565.457142815592,7255.244117304042,True,6.6662745439316495e-06,1.1984428833794488e-08,9.029688271766645e-06,7.385763954525759e-09,1.6489476450942675e-11,1.648947645013482e-11,1.2835577903325124e-07,5.667447079383355e-07,1.2835577906100681e-07,4.797970354540699e-07,1.2834981305553939e-07,3.6183462507840073e-07,1.046305442287121e-08,6.683705440816278e-12,0.003354495871462859,4.6235443856343897e-07,0.003354495871462859,5.667447079383355e-07,True
success,127.1262648999691,up,bvp,56,,,True,0.001,213.0,0.000955232122394968,,556.2446102325748,1222.580126772869,1.000000000016117,0.22647911054829883,0.26752088945170116,0.3547194406630257,1565.4571428469158,7255.24634511948,True,4.9932926458495785e-05,8.976792054711874e-08,5.406083346315427e-06,4.421864223067649e-09,3.2875036026780435e-11,3.287503602516982e-11,1.0291861143874037e-07,4.544289226444383e-07,1.029186114109848e-07,3.84712281825424e-07,1.0290671731416623e-07,2.9010726693702255e-07,2.086062522721477e-08,1.3325580532697269e-11,0.001126680434026639,1.5529179926747932e-07,0.001126680434026639,4.544289226444383e-07,True
fail: 初始求解失败，请检查问题设置,5.196972000179812,up,bvp,5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False
success,142.3690577999223,up,bvp,54,,,True,0.001,221.0,0.0009785688201602836,,556.2445887343474,1222.580129354611,1.0000000000117466,0.2264790011376604,0.26752099886233965,0.35471955007524547,1565.4571428496893,7255.246204068958,True,7.143115385588317e-05,1.2841679025670113e-07,2.8243414362805197e-06,2.310148318251186e-09,3.7245539985519827e-11,3.7245539983695086e-11,6.4920269993162805e-09,2.8665027576998666e-08,6.492027082583007e-09,2.426735571314157e-08,6.505502470055546e-09,1.833984788260326e-08,2.3634129320271313e-08,1.5097270103227225e-11,0.0012677309559876448,1.7473297236450304e-07,0.0012677309559876448,1.7473297236450304e-07,True
success,223.70194859988987,up,bvp,53,,,True,0.001,319.0,0.0009883755045809153,,556.2446405481902,1222.5801300357532,1.0000000000013223,0.22647904761615814,0.2675209523838418,0.35471950360051907,1565.457142856304,7255.245151719712,True,1.9617311068031995e-05,3.526741463404825e-08,2.1431992536236066e-06,1.7530133176660363e-09,4.766986805293527e-11,4.7669868050599824e-11,3.998647074565653e-08,1.7655707327646826e-07,3.998647074565653e-08,1.494704037666912e-07,3.996922393056934e-08,1.1267838114679693e-07,3.024888428626582e-08,1.9322716322759728e-11,0.0023200802015708177,3.1977960925366507e-07,0.0023200802015708177,3.1977960925366507e-07,True
success,409.7635137999896,up,bvp,52,,,True,0.001,388.0,0.0009661135582735059,,556.2444949713706,1222.5801280505223,1.0000000018205848,0.22647928754487115,0.2675207124551289,0.35471926301359463,1565.4571417019038,7255.248183762111,True,0.0001651941306590743,2.96981063350655e-07,4.128430191485677e-06,3.376817668489142e-09,1.771592650356979e-09,1.7715926502701848e-09,2.7991518375403146e-07,1.2359431749706216e-06,2.799151836985203e-07,1.0463297897424485e-06,2.805561483687491e-07,7.909238536601457e-07,1.1241513675486203e-06,7.180978238211212e-10,0.000711962196874083,9.813065641680398e-08,0.000711962196874083,1.2359431749706216e-06,True
fail: 初始求解失败，请检查问题设置,61.28730219998397,up,bvp,51,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False
