status,elapsed_s,region,solver,initial_mesh,hc_outer_converged,hc_max_re_final,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
success,599.8550535999238,up,bvp,69,,,True,0.001,1248.0,0.0007509358672502948,,556.2445762185056,1222.5801291266753,1.0000000000720797,0.22647899200230845,0.2675210079976915,0.3547195591887689,1565.4571428114052,7255.244993734183,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
success,167.4808620000258,up,bvp,68,,,True,0.001,249.0,0.0009567002601388576,,556.2446968514281,1222.5801227760194,1.0000000000034568,0.22647859010815916,0.26752140989184087,0.35471996110774584,1565.4571428549493,7255.240153410106,True,0.00012063292251696112,2.1687028993083386e-07,6.350655894493684e-06,5.194470074554658e-09,6.862288515208093e-11,6.86228851471346e-11,4.018941492933692e-07,1.7745316938238261e-06,4.0189414934888035e-07,1.5022900532445226e-06,4.0191897693331313e-07,1.1330612212433045e-06,4.354410521045793e-08,2.7815584355287457e-11,0.00484032407621271,6.671482603816878e-07,0.00484032407621271,1.7745316938238261e-06,True
success,218.53665679995902,up,bvp,67,,,True,0.001,282.0,0.000962761881472673,,556.2445627280426,1222.580123730475,1.0000000000087652,0.2264786635928957,0.26752133640710435,0.3547198876210887,1565.457142851581,7255.241095446163,True,1.3490462947629567e-05,2.4252754138011055e-08,5.396200322138611e-06,4.4137804906033236e-09,6.33144647821382e-11,6.331446477757452e-11,3.2840941274758784e-07,1.4500656764855279e-06,3.2840941283085456e-07,1.2276023303324593e-06,3.284323197849659e-07,9.258928956048519e-07,4.017579158244189e-08,2.5663935781908515e-11,0.0038982880196272163,5.373061864890681e-07,0.0038982880196272163,1.4500656764855279e-06,True
success,150.57434349996038,up,bvp,66,,,True,0.001,282.0,0.0009357287023415698,,556.2446355635502,1222.5801263790213,1.0000000002170726,0.2264787262615676,0.26752127373843243,0.35471982487705106,1565.457142719401,7255.243992512411,True,5.934504463311896e-05,1.0668876097015077e-07,2.7476539798954036e-06,2.247422409734512e-09,1.449929065699962e-10,1.4499290655954515e-10,2.6574074085683463e-07,1.1733571335134077e-06,2.657407409123458e-07,9.93345318565183e-07,2.656882821527873e-07,7.490093942392322e-07,9.200425665767398e-08,5.877149501036067e-11,0.0010012217717303429,1.3799971918178145e-07,0.0010012217717303429,1.1733571335134077e-06,True
fail: 初始求解失败，请检查问题设置,604.9079287999775,up,bvp,65,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False
success,279.7057358000893,up,bvp,64,,,True,0.001,542.0,0.0008874807842808506,,556.2446027245811,1222.5801293745492,1.0000000000282834,0.2264790065992439,0.2675209934007561,0.35471954460767885,1565.4571428391957,7255.2453048913285,True,2.650607552823203e-05,4.765183637102079e-08,2.478739133948693e-07,2.0274655827420726e-10,4.37962999200181e-11,4.3796299916861275e-11,1.4596935438149217e-08,6.445160899515322e-08,1.4596935438149217e-08,5.4563697809762946e-08,1.458109005758601e-08,4.110596576893715e-08,2.7790520107373595e-08,1.775233530664697e-11,0.0003111571459157858,4.28872003887545e-08,0.0003111571459157858,6.445160899515322e-08,True
success,182.24710719985887,up,bvp,63,,,True,0.001,261.0,0.0009820741355548923,,556.2445343923957,1222.5801280650016,1.0000000000000966,0.22647893164300545,0.2675210683569946,0.3547196195741153,1565.4571428570814,7255.24480496551,True,4.182610985026258e-05,7.519373965784492e-08,1.061673629010329e-06,8.683877675721047e-10,7.198308615841142e-11,7.198308615322291e-11,6.035930300019032e-08,2.6651170806860133e-07,6.035930305570147e-08,2.256245350878101e-07,6.038534638985738e-08,1.7023404778681086e-07,4.5676188165089116e-08,2.917753984823834e-11,0.0001887686721602222,2.601823540393849e-08,0.0001887686721602222,2.6651170806860133e-07,True
success,128.5776442999486,up,bvp,62,,,True,0.001,234.0,0.0009902061024179714,,556.2444660693446,1222.5801276821771,1.0000000000373823,0.2264789930634372,0.26752100693656283,0.35471955814019357,1565.4571428334223,7255.241277779329,True,0.00011014916094609362,1.9802289434427584e-07,1.44449813888059e-06,1.1815161268099763e-09,3.469735609940017e-11,3.469735609689919e-11,1.0611287404316272e-09,4.685329668108075e-09,1.061128684920476e-09,3.9665246959955855e-09,1.048575337669888e-09,2.9560685631994547e-09,2.2017047740519047e-08,1.4064292875484678e-11,0.003715954853760195,5.121749654173484e-07,0.003715954853760195,5.121749654173484e-07,True
success,107.0629500001669,up,bvp,61,,,True,0.001,180.0,0.0009702114918570376,,556.2447367217657,1222.5801173180741,1.000000000008065,0.22647911091845974,0.26752088908154026,0.354719440295778,1565.4571428520253,7255.249892232466,True,0.0001605032600764389,2.8854800017571685e-07,1.1808601129814633e-05,9.658754341320648e-09,6.401457142146683e-11,6.401457141685267e-11,1.1891615128711841e-07,5.250648205194517e-07,1.1891615125936283e-07,4.4451145033211364e-07,1.1889299089684613e-07,3.3517461278072795e-07,4.0620079744257964e-08,2.594774307989572e-11,0.004898498283182562,6.751664881631195e-07,0.004898498283182562,6.751664881631195e-07,True
success,135.3345924001187,up,bvp,55,,,True,0.001,214.0,0.000995215220934221,,556.2448162120738,1222.580124410373,1.0000000000182423,0.22647870206863296,0.26752129793136703,0.35471984914192245,1565.457142845567,7255.244736204209,True,0.00023999356824333518,4.3145331838536477e-07,4.7163023282337235e-06,3.857663163233903e-09,5.383737899933294e-11,5.383737899545236e-11,2.899336754846882e-07,1.2801791147221857e-06,2.8993367551244376e-07,1.083779093397202e-06,2.8995315354274354e-07,8.174151834363353e-07,3.41617578669684e-08,2.182222491611446e-11,0.0002575299731688574,3.549569633985716e-08,0.0002575299731688574,1.2801791147221857e-06,True
