scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,0.435,200,10,,,True,18.5797,
1,0.44,200,10,,,True,10.5438,
2,0.445,200,10,,,True,10.8847,
3,0.45,200,10,,,True,10.8152,
4,0.455,200,10,,,True,10.745,
5,0.46,200,10,,,True,11.0644,
6,0.465,200,10,,,True,11.597,
7,0.47000000000000003,200,10,,,True,12.6344,
8,0.47500000000000003,200,10,,,True,13.3005,
9,0.48000000000000004,200,10,,,True,14.108,
10,0.48500000000000004,200,10,,,True,15.8608,
11,0.49000000000000005,200,10,,,True,16.3425,
12,0.49500000000000005,200,10,,,True,15.5762,
13,0.5,200,10,,,True,14.4243,
14,0.505,200,10,,,True,14.6736,
15,0.51,200,10,,,True,14.493,
16,0.515,200,10,,,True,16.5715,
17,0.52,200,10,,,True,15.51,
18,0.525,200,10,,,True,15.8134,
19,0.53,200,10,,,True,13.8631,
20,0.535,200,10,,,True,16.4758,
21,0.54,200,10,,,True,16.1925,
22,0.545,200,10,,,True,14.695,
23,0.55,200,10,,,True,11.2253,
24,0.555,200,10,,,True,11.7288,
25,0.56,200,10,,,True,11.7114,
26,0.5650000000000001,200,10,,,True,12.0577,
27,0.5700000000000001,200,10,,,True,12.0142,
28,0.5750000000000001,200,10,,,True,10.9395,
29,0.5800000000000001,200,10,,,True,11.216,
30,0.5850000000000001,200,10,,,True,10.8195,
31,0.5900000000000001,200,10,,,True,10.9573,
32,0.5950000000000001,200,10,,,True,11.2667,
33,0.6000000000000001,200,10,,,True,10.9011,
34,0.6050000000000001,200,10,,,True,11.2674,
35,0.6100000000000001,200,10,,,True,10.3196,
36,0.6150000000000001,200,10,,,True,10.0286,
37,0.6200000000000001,200,10,,,True,9.6514,
