z,T,t,fs,x,rhob,p
4.166,1200.6274662558865,1200.0,1.0,0.999999999999999,1700.0,10200.0
4.5072,1202.4231643624398,1201.803517816248,1.0,0.999999999999999,1700.0,10255.489812709902
4.592499999999999,1202.8762715609778,1202.2534119883069,1.0,0.999999999999999,1700.0,10269.338555374079
4.6777999999999995,1203.3336475101662,1202.7031093600153,1.0,0.999999999999999,1700.0,10283.347936391674
4.8484,1204.2784896544335,1203.608364611861,1.0,0.999999999999999,1700.0,10312.310365562338
4.9337,1204.7947428708856,1204.0796906611872,1.0,0.999999999999999,1700.0,10327.285221451204
5.019,1205.376433222092,1204.583258669299,1.0,0.999999999999999,1700.0,10342.605199332982
5.1043,1206.0739072700324,1205.1465195429662,1.0,0.999999999999999,1700.0,10358.283960967105
5.1896,1206.9701358008213,1205.8146843398379,1.0,0.999999999999999,1700.0,10374.337211746559
5.274900000000001,1208.2004525475031,1206.6614794718575,1.0,0.999999999999999,1700.0,10390.783766163391
5.360200000000001,1209.9832443550445,1207.8058862983191,1.0,0.999999999999999,1700.0,10407.64728159864
5.445500000000001,1212.666958983061,1209.4378268057014,1.0,0.999999999999999,1700.0,10424.95906041546
5.5308,1216.800839211692,1211.8569321335706,1.0,0.999999999999999,1700.0,10442.762540157797
5.616099999999999,1223.2390066364644,1215.5298878896308,1.0,0.999999999999999,1700.0,10461.12041746075
5.7014,1233.2890933150306,1221.1730545715577,1.0,0.999999999999999,1700.0,10480.125820969573
5.7867,1248.915556356108,1229.8672330129846,1.0,0.999999999999999,1700.0,10499.919598799434
5.872,1273.0,1243.2086866851132,1.0,0.999999999999999,1700.0,10520.716628020378
