
========================================================================
convergence_ref_profiles | cwd=D:\Group\HyOCR\HG_test_cloned
argv=scripts/test_convergence_ref_profiles.py --scale-min 0.05 --scale-max 0.24 --scale-step 0.005 --log-bvp logs/bvp_0.05-0.24.log --log-hc logs/hc_0.05-0.24.log --output-csv output/summary_0.05-0.24.csv --phase hc
phase=hc | run_bvp=False run_hc=True
scales (39)=[0.05, 0.055, 0.06, 0.065, 0.07, 0.07500000000000001, 0.08000000000000002, 0.08500000000000002, 0.09000000000000002, 0.09500000000000003, 0.10000000000000003, 0.10500000000000004, 0.11000000000000004, 0.11500000000000005, 0.12000000000000005, 0.12500000000000006, 0.13000000000000006, 0.13500000000000006, 0.14000000000000007, 0.14500000000000007, 0.15000000000000008, 0.15500000000000008, 0.1600000000000001, 0.1650000000000001, 0.1700000000000001, 0.1750000000000001, 0.1800000000000001, 0.1850000000000001, 0.1900000000000001, 0.19500000000000012, 0.20000000000000012, 0.20500000000000013, 0.21000000000000013, 0.21500000000000014, 0.22000000000000014, 0.22500000000000014, 0.23000000000000015, 0.23500000000000015, 0.24000000000000016] | mode=range[0.05,0.24]step=0.005
z_patch_m=4.2 | max_outer=100 | y_tol=0.01
initial_mesh_up=200 initial_mesh_down=10 | U_override=None
TMP_RUN=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs | output_csv=D:\Group\HyOCR\HG_test_cloned\output\summary_0.05-0.24.csv
HC  CSV up=D:\Group\HyOCR\HG_test_cloned\data\hc_4n4_0.0-4.2m_loop.csv down_resolved=D:\Group\HyOCR\HG_test_cloned\data\hc_6_4.2-5.9m_loop.csv
merged HC  rows=499 z=[0.0000,5.8720]
HC_REL_TOL_MAIN=0.001 (test_hc_* per-variable relative tolerance)
========================================================================
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of fs = 0.0008374352383365057
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of rhob = 0.0004877756562251703
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of T = 4.1366718351472255e-06
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of t = 4.252920716152015e-06
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of p = 3.2125410020173735e-06
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
2026-04-10 23:43:24 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of T = 0.0009365432343499194
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of t = 0.0009478732698538099
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of x = 0.0001670874461254746
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of y = 0.00035867472300680207
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of w = 0.0004467575377875895
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of p = 0.0
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of fs = 0.0009371839167266352
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of rhob = 0.0006589982251732841
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of T = 4.024334721189862e-06
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of t = 4.140861482660568e-06
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of p = 3.314656635128937e-06
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] trial 2/39 | scale=0.055 | HC end | coupling_ok=True outer_iters=1 elapsed=17.34s | final_success=True
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] trial 3/39 | scale=0.06 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i2
2026-04-10 23:43:33 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of T = 0.0008517215735787999
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of t = 0.0008561489650152848
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of x = 0.000480682157405939
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of y = 0.000799187926612414
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of w = 0.0006892151917117766
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of p = 7.070418001110414e-17
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of fs = 0.0008878163454809665
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of rhob = 0.0005109901288616981
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of T = 4.1234094455151795e-06
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of t = 4.239382729555441e-06
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of p = 3.2023115560546898e-06
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
2026-04-10 23:43:41 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of T = 0.0008023970079890173
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of t = 0.0008143538768388532
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of x = 0.00010965362441154682
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of y = 0.00023529516035806602
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of w = 0.00042987626453838435
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of p = 7.104124839930549e-17
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of fs = 0.000957121344606893
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of rhob = 0.0005887033693168612
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] 测试 下半部分模型 hc_6
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of T = 4.011796463582139e-06
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of t = 4.128069995829574e-06
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of x = 0.0
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of p = 3.306717974924539e-06
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of fs = 0.0
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] relative error of rhob = 0.0
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] trial 3/39 | scale=0.06 | HC end | coupling_ok=True outer_iters=1 elapsed=18.12s | final_success=True
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] trial 4/39 | scale=0.065 | HC phase | mesh_up=200 mesh_down=10 | dir=D:\Group\HyOCR\HG_test_cloned\tmp\convergence_ref_profiles_runs\convref_hc_i3
2026-04-10 23:43:51 | INFO     | [conv_ref:HC] 测试 上半部分模型 hc_4n4
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] final relative error:
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of T = 0.0008314636757231487
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of t = 0.000835549863300607
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of x = 0.0004401900865370308
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of y = 0.0007304118440864965
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of w = 0.0006593313184717392
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of p = 5.85521885190366e-17
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of fs = 0.0008353001033219802
2026-04-10 23:44:00 | INFO     | [conv_ref:HC] relative error of rhob = 0.00048647816851216623
